chimney,煙突
lean,かがむ
besides,のほかに
financial,財政の
tough,頑丈な
brightly,明るく
rod,棒
explore,探検する
bucket,バケツ
climbing,登山
democratic,民主主義の
pat,軽く叩く
growth,成長
technology,テクノロジー
naked,裸の
authority,権威
steady,安定した
cutter,切る道具
photography,写真術
arrest,逮捕する
moving,人を感動させる
hearing,審理
happening,出来事
emotion,感動
creative,創造力のある
simply,全く
planning,計画
toss,軽く混ぜる
original,最初の
biscuit,ビスケット
carpet,じゅうたんを敷く
freezer,冷蔵庫
worm,虫
beefsteak,ビフテキ
otherwise,さもなければ
lawn,芝生
tale,物語
appoint,指名する
pancake,パンケーキ
weapon,武器
goods,商品
shy,恥ずかしがりの
intelligence,知能
replace,取り替える
insurance,保険
perfectly,完全に
career,経歴
communication,コミュニケーション
discovery,発見
darkness,暗がり
experiment,実験装置
comment,論評する
generation,同世代の人々
yell,どなる
salesman,販売係
supply,提供する
trap,わなに掛ける
saucer,皿
killing,殺す
airmail,航空便
knit,編んだ(む)
opening,開いている
tend,のめんどうを見る
individual,ひとりひとり
basis,主成分
convenient,便利な
creature,動物
trial,公判
violinist,バイオリニスト
grace,優雅
seldom,めったに
speedy,速い
excitement,刺激
diet,国会
loving,愛情のある
punishment,罰
busily,忙しく
missing,欠けている
drawing,製図
learning,学問
connect,関係させる
hawk,【鳥】タカ
rent,賃貸しする
weakness,弱さ
expression,表現すること
employer,雇用者
novel,よく知られていない
device,装置
collar,捕まえる
absence,留守
overnight,夜通し
relation,話し
fairly,(形容詞
possess,～を持つ
countryside,田舎
ministry,聖職
unfortunate,不運な
sake,利益
display,陳列する
suffering,苦しむこと
stress,に強勢をつける
border,接する
sufficient,(数量などが)十分な 十分な量[数]
domestic,国内向けの
victory,勝利
cleaner,掃除人
adviser,助言者
practically,実用的に
affect,影響を及ぼす
liter,リットル
shopkeeper,店主
intention,ねらい
bet,(金を)賭ける
paid,有料の
banker,銀行家
production,生産物
outdoor,戸外の
sharply,鋭く
nerve,元気づける
whoever,だれでも
landing,着陸
overcoat,オーバー
mental,心の
fully,完全に
parcel,小包
recorder,レコーダー
seek,求める
latest,最近の
deserve,～を受けるに足る
stewardess,スチュワーデス
scissors,はさみ
jewel,宝石
mailman,郵便集配人
article,論文
rarely,めったにしない
bedtime,就床時刻
sigh,ため息をつく
mustard,カラシ
producer,生産者
watermelon,【植物】スイカ
relax,規律を寛大にする
lifestyle,生き方
moral,道徳の
burger,ハンバーガー
blank,白紙の
horrible,ひどくいやな
afford,(買う?持?余裕がある
rhythm,リズム
keyboard,キーボード
typist,タイピスト
bound,(～する)義務がある
impress,に感銘を与える
merchant,商人
screw,ねじくぎ
odd,奇数の
presence,物腰
pudding,プディング
accompany,に伴って起こる
consider,考慮に入れる
heel,～のすぐ後を追う
protest,異議の申し立て
thread,細い線
issue,発券
flute,フルートを吹く
occur,心に浮ぶ
cough,咳をする
angle,魚釣りをする
due,予定の
rare,滅多にない
reward,褒美
disappointment,落胆
mostly,大部分は
evidence,証拠
humor,hurmour
although,たとえ…でも
equipment,装備
barber,理髪師
entertain,もてなす
promising,見込みのある
leisure,用事のない
comfortably,気持よく
income,(定)収入
rival,商売がたき
file,綴じ込む
duck,ひょいと水にもぐる
indoor,室内の
lord,君主
sincerely,誠実に
reduce,減じる
per,につき
known,知られている
fireplace,暖炉
properly,当然に
stove,(暖房用)ストーブ
merit,メリット
cola,コーラ
mineral,鉱物
advance,提出する
gang,囚人などの群れ
literature,文学研究
election,選挙
tradition,正式の財産引渡し
retire,引き下がる
loyal,忠誠な
fog,濃霧で包む
global,全体的な
surprising,驚くべき
evil,不吉な
security,安全
celebration,祝賀
sportsman,スポーツマン
principle,原理
fund,資金
madam,奥様
gap,裂け目
seriously,真面目に
description,描写
singing,歌うこと
including,含む
housework,家事
property,財産
softly,柔らかに
traveler,旅行者
employ,手段を用いる
contract,請け負い
Christ,イエスキリスト
pump,ポンプ
geography,地理学
treasure,貴重品
alarm,怖がらせる
pop,ぽんと音がする
competition,競争者
vinegar,酢
carrot,人参
refer,に属するものとする
unique,唯一の
frank,あからさまな
devil,悪魔
waiting,待っている
kindness,親切な行為
observe,観測する
Bible,Bible
legal,強制的な
hopeless,どうにもしようのない
strict,几帳面な
curry,カレー
needless,不必要な
temper,気分
composition,構成
horror,恐ろしさ
faith,信頼
foundation,財団法人
fixed,固定した
slice,ひと切れ
appointment,取決め
sensitive,敏感な
microphone,マイク
flour,小麦粉
altogether,全体で
considerable,少なくない
failure,不履行
childhood,子供の状態
folk,人々
wherever,どこでも
frighten,驚かしてさせる
kettle,やかん
community,共同体
director,ディレクター
mysterious,神秘的な
technical,手法の
index,インデックス
indoors,室内で
establish,落ち着かせる
military,軍隊の
league,盟約を結ぶ
loyalty,貞節
robber,強盗
costume,衣装を用意する 衣装
user,ユーザー
bubble,湧き出る
excited,興奮した
weekday,平日
prayer,祈り
oppose,に対立させる
bookcase,本箱
wallet,小道具袋
according,一致した
climate,風土
fever,熱
bored,うんざりして
balcony,バルコニー
media,媒体
greet,あいさつする
sketchbook,スケッチブック
population,人口
sweep,さっと通過する
baking,焼くこと
rude,教養のない
negative,マイナスの
celebrate,祝典をあげて祝う
explanation,説明としての陳述
grown,growの過去分詞形(grow
parking,駐車
cheerful,気持ちのよい
crack,コカイン
fee,手数料
moreover,その上
canoe,カヌー
swimmer,泳ぐ人
management,取扱い
lost,無駄になった
membership,会員資格
complex,複合の
weep,すすり泣く
quality,良質な
closed,閉店した
patience,がまん
identify,同一に扱う
structure,構造化する
option,選択の対象となるもの
honor,名誉
penny,ペニー
talent,才能
eyebrow,眉
graduate,目盛りを付ける
pretend,ふりをする
equally,同等に
motorcycle,オートバイ
client,顧客
setting,背景
patch,つぎはぎ
bury,没頭させる
scarf,スカーフ
background,経歴
observation,観察
lamb,【動物】子羊
sketch,スケッチする スケッチ
suppose,～だと思う
bold,ずうずうしい
aid,援助
physics,物理学
assistance,援助
instant,切迫した
document,証拠書類を出す
journal,日刊新聞
seafood,海産食品
lily,【植物】ユリ
analysis,詳細な検討
gram,グラム
exchange,交換する 交換
thunder,【気象】雷(雷鳴)
careless,不注意な
underneath,の下に
eagle,【鳥】ワシ
breast,突き進む
impact,激突する
commercial,コマーシャル
bomb,爆撃する
whichever,どちらでも
drum,太鼓
minister,聖職者
horn,角製のもの
circus,サーカス
winner,勝利者
somehow,どうにか
temporary,一時しのぎの
agreement,意見の一致
string,一列に並べる
religious,宗教心のある
grave,刻みつける
