amusing,おもしろい
preparation,準備
charity,慈善
sticky,ねばねばする
immense,広大な
athlete,運動選手
consideration,思いやり
stew,とろ火で煮る
instinct,本能
shortly,間もなく
grocer,食料雑貨店主
jealousy,ねたみ
relaxed,くつろいだ
investigation,調査
spade,スペード
capture,捕える
sadness,悲しみ
remark,言う
upright,まっすぐ立った
debt,おかげ
ambitious,大望のある
stylist,スタイリスト
bedside,寝台の傍ら(の)
sunflower,【植物】ヒマワリ
driving,ドライブする
barrel,容器
govern,統治する
forecast,【気象】予報
ignorance,無教育
edition,版
submit,服従(屈服)させる
ripe,成熟した
transportation,配送機関
genius,(非凡な)才能
maximum,最大
canal,運河
mechanism,機構
bite,噛むこと
burden,責任
steep,急勾配の
monitor,忠告者
contrary,反対の
hut,簡易住居
puppy,【動物】子犬
resist,に侵されない
portrait,肖像
liquid,不安定な
primitive,原始的な
definition,定義
increasingly,ますます
vary,変わる
countryman,同国人
capacity,引受能力
halfway,中途半端な
flame,光彩
peculiar,特有の
urgent,急を要する
united,連合[合体
task,職務
apt,の傾向がある
proceed,取りかかる
interval,隔たり
resort,助けを借りる
minimum,最小限度
secure,安全な
infant,未成年者
spray,スプレーする
cop,《俗語》警官
construction,建築様式
butcher,畜殺する
dependent,依存している人
handbook,手引き
tablespoon,テーブルスプーン
villager,村人
satisfaction,満足
decorate,勲章を授ける
turning,回転
flying,飛ぶこと
pronunciation,発音
proudly,高慢に
passing,過ぎて行く
poorly,貧しく
mixed,入り混った
source,情報源
virtue,長所
household,家中のもの
dash,粉々に打ち砕く
artificial,人工の
heal,なおす
tropical,熱帯の
heating,加熱する
caution,警告する
saint,聖人
consist,構成される
mercy,慈悲
vain,むなしい
bloom,開花させる
convenience,都合
volunteer,ボランティア
outward,外へ向かう
luckily,幸いにも
reveal,明らかにする
essence,本質
apologize,謝罪する
interior,インテリア
conscience,道義心
width,幅
lively,生き生きした
chop,打撃
basically,基本的に
scent,～を感知する
oak,【植物】オーク材の
anniversary,記念日
rating,格付け
brief,要点を伝える
jumper,ジャンプ競技選手
imitate,手本にする
nevertheless,それにもかかわらず
realistic,現実主義の
universal,普遍的な
uncomfortable,居心地の悪い
bulldozer,ブルドーザー
consequence,成り行き
stem,(～の流れを)止める
mode,様式
efficiency,能力
remote,よそよそしい
