acclaim,に喝采する
bloke,奴
parch,からからにする
theoretically,理論上
alto,《伊》アルト
vault,金庫
lance,切開する
arsenal,兵器庫
fineness,りっぱさ
assured,保証された
modernism,現代的思考[精神
installment,分割払い込み金
plaything,遊び道具
gin,綿織り機
elude,逃れる
indictment,告発
atrocity,残虐(行為)
chic,あかぬけた
bridal,花嫁の
tangle,からませる
sever,断絶する
lousy,ひどい
cavity,虫歯の穴
immovable,動きのない
authenticity,信憑性
denim,デニム
rebound,回復する
recitation,詳述
semester,学期
alibi,現場不在証明
swerve,急に曲がる
invalidate,無効にする
viable,実行可能な
advent,出現
afresh,新たに
encompass,…を包み込む
resell,転売する
infinity,無限領域
override,覆す
fabricate,組み立てる
pacifist,平和主義者
relativity,相対性物理学
subculture,
exposition,博覧会
lag,ついて行けなくなる
rebirth,再生 復活
flattering,お世辞の
moisten,湿らせる
erode,腐食する
ruby,ルビー色の
reelect,…を再選する
egocentric,自己中心の
practicable,実行可能な
bloc,《仏語》ブロック
semblance,類似
biochemistry,生化学
provocative,刺激する
discernible,認識できる
refute,論駁(破)する
cod,【魚】タラ
interdependent,互いに依存する
crossed,混線した
blackout,灯火管制 
greasy,グリースを塗った
hog,【動物】ブタ(特に食用豚)
converge,集まる
bulge,ふくらませる
interrogation,尋問
plunder,(～を)略奪(する)
continuance,連続
fraternity,同業者仲間
laurel,栄誉を与える
malignant,悪意のある
facade,《仏語》建物の正面
braid,(紐·髪など)編む
suitor,請願者
repetitive,(けなして)繰り返しの
commoner,一般人
mermaid,人魚
maternity,母であること
unaccountable,説明できない
showcase,陳列棚
expectancy,予測値
transcend,超越する
promenade,散歩する 遊歩
hysteria,ヒステリー
convoy,護衛する
proliferation,増殖
stud,ちりばめる
disgraceful,不面目な
trance,意識もうろう
wrestler,レスラー
prod,刺激する
loft,屋根裏
confidentiality,機密性
fidelity,忠実
elusive,理解しにくい
pitiless,無慈悲な
shred,断片
wig,かつら
pleasurable,愉快な
cerebral,脳の
implicate,(犯罪などに)関係ある
manageable,御しやすい
liaison,【料理】つなぎ
primal,第一の
causal,原因の
scrawl,なぐり書きにする
longstanding,積年の
reclaim,埋め立てる
gee,(間投詞)おや
dainty,きゃしゃな
emulate,と張り合う
beneficiary,受益者
convene,召集する
forge,溶鉄炉
proverbial,ことわざの
reunite,再結合させる
pervert,転倒する
sloppy,だらしのない
groove,楽しいもの
foothold,足場
impetus,勢い
envisage,心に描く
helm,かじ
dissident,意見を異にする(人)
seamless,継ぎ目のない
veal,子牛の肉
pageant,ページェント
affiliate,関係づける
clothesline,物干し綱
provisional,暫定の
preclude,不可能にする
courtroom,法廷
vista,展望
malt,【植物】麦芽
wrestle,ともみ合う
volatile,移り気な
receptive,受容性に富む
focal,焦点の(にある)
lather,石鹸[洗剤]の泡
apologetic,わびの
