certificate,証明書
colored,着色した
familiarity,親密
unreasonable,理不尽な
distinctive,特徴を示す
infect,伝染する
obstacle,障害
sensitivity,神経のこまやかさ
dizzy,目まいのする
newcomer,新来者
remembrance,記憶範囲
stale,生気がない
depress,意気消沈させる
comeback,復帰
tackle,タックルする
manhood,成年
advertiser,広告者
dialogue,対話(する)
institutional,組織的な
lasting,長持ちする
astronomy,天文学
climatic,気候の
diminish,小さくなる
savage,野蛮人
guarded,用心深い
inheritance,相続財産
deceit,詐欺
spit,(つばなどを)吐く
cuckoo,【鳥】カッコウ
adverb,【文法】副詞
octopus,【魚】タコ
fitness,適当
tiring,疲れる
coarse,粗野な
skyscraper,超高層ビル
uneasy,不安な
leak,～を漏らす
plague,ペスト
comet,すい星
shark,【魚】サメ
dump,をどさっと落とす
bilingual,2言語の
digestion,消化
puppet,操り人形
unnatural,不自然な
generate,発生させる
offshore,沖合いで 海外で
attribute,～のおかげとする
teaspoonful,茶さじ1杯
applied,適合された
unwise,分別がない
treasury,財務
retail,小売り商の
fuck,セックスする
astonishment,おどろき
dart,突進する
dullness,鈍感
lad,少年
bravery,勇敢さ
surname,にあだ名をつける
intended,意図した
reopen,再び始める
impatience,耐えられないこと
adjective,【文法】形容詞
carrier,運搬装置
crisp,てきぱきした
naval,海軍の
lone,ひとりぼっちの
proposition,提案
framework,骨組み
equip,に装備する
irritating,いらいらさせる
postage,郵送料金
brook,小川 耐える
quietness,静けさ
stool,丸椅子
chilly,よそよそしい
cartoon,漫画を描く
cruise,周遊観光船
supervision,管理
alcoholic,アルコール中毒
prediction,予言
juicy,水分の多い
beater,打つ人
reel,めまいがする
administrative,行政上の
consultation,相談
scooter,スクーター
circulation,発行部数
withdrawal,取り消し
cracker,かんしゃく玉
reckless,無頓着な
compulsory,強制的な
pregnant,妊娠している
obscure,覆い隠す
standpoint,立場
tremble,震動する
informed,情報に通じた
therapy,治療
brighten,明るくなる
dew,露
displease,のきげんを損じる
salon,《仏語》サロン
narrative,物語の
dreadful,恐ろしい
viewer,見る人
personnel,人事の
everlasting,永久の
successive,連続的な
mildly,おだやかに
accumulate,積み重ねる
exploit,開発する
snowy,雪の降った
translator,翻訳者
untidy,だらしない
profound,心の底から
blot,にしみをつける
radar,レーダー
tag,に下げ札をつける
crook,ペテン師
unpaid,(借金などが)未払いの
suspense,どっちつかずの状態
unlock,の錠をあける
popularly,一般に
unmarried,結婚していない
mellow,熟して(甘い)
tick,カチカチいう音
alley,小路
chairperson,議長
pretense,見せかけ
pastry,ねり菓子
councilor,議員
proceeding,行為
astronomer,天文学者
interruption,妨害
ornamental,飾りの
regularity,規則正しさ
watchman,ガードマン
classified,分類された
ownership,所有権
depressing,意気消沈させる
mislead,誤り導く
shiver,震える
jolly,おだてる
boiling,沸騰している
fluid,変りやすい
Islam,イスラム
denial,否認
gravity,まじめさ
intimate,《婉》親密な
isolation,遊離
ape,サル
cheapness,安価
exaggeration,誇張
mini,ミニスカート
refreshing,そう快にする
snowstorm,【気象】吹雪
tablet,平板
crouch,身をかがめる
workman,労働者
memorize,記憶する
infinite,無限の
stalk,大股に歩くく
fake,～のふりをする
folding,折りたたみの
monetary,貨幣の
miniature,模型
sewing,縫う
booth,テント掛け屋台
cloak,覆い隠す
cork,コルク製品
spinach,ホウレン草
economically,経済的に
vowel,【文法】母音
feeble,かよわい
descendant,子孫
nationalist,国家主義者
preschool,就学前の
relevant,関連した
thankful,感謝している
moderately,ほどほどに
conception,構想
puff,ぷっと吹く(こと)
cluster,かたまり
marvel,不思議に思う
irritation,いらだち
fable,寓話
telegraph,電信
coloring,着色剤
gene,遺伝子
waterproof,耐水の
probe,徹底的な調査
shit,排便行為
theft,盗み
grower,栽培者
symptom,徴候
banquet,宴会場
calmness,静けさ
shatter,粉砕する
businesslike,実務的な
comparative,匹敵する
crane,首を伸ばす
intermediate,中間にある
worship,礼拝する
opener,開幕試合
symbolic,象徴主義の
participation,関与
fearless,恐れを知らない
revolve,回転させる
fossil,化石
eliminate,削除する
lest,するといけないから
freshly,新たに
voluntary,自発的な
bribe,に賄賂を贈る
cello,チェロ
banish,追放する
administrator,管理者
constructive,建設的な
bazaar,バザー
purity,清浄
attentive,注意ぶかい
wrinkle,しわ 問題
terrify,こわがらせる
orthodox,正統派の
Buddhism,(宗教)仏教
transparent,透明な
creator,創造者
diagram,図解
span,紡いだ(ぐ)
reflective,反射による
fuzzy,羽毛[綿毛]状の
participant,参加者
coating,コーティング
slam,スラム
sleepless,眠らない
unbearable,耐えられない
infectious,うつりやすい
inexpensive,費用のかからない
irritate,いらだたせる
insistent,しつこい
smoky,けむい
beneficial,有益な
precaution,予防(策)
holiness,神聖
reap,作物を刈る
multimedia,マルチメディア
ample,広大な
convincing,説得力のある
storytelling,
fraction,ほんの少し
weakly,いくじなく
intensity,緊張
compliment,賛辞を述べる
parliamentary,議会の
deserted,人が住まない
dwelling,《文語》住居
aha,はあはあ
almighty,全能の
dependence,人を頼ること
maiden,少女
trustworthy,信頼のあった
nuisance,厄介(もの)
rust,錆びる
corruption,汚職
feminist,男女同権主義者
collective,全体的な
impolite,無礼な
patent,専売特許の特許の
babe,すっごい美人
duke,公爵
taxpayer,納税者
convict,有罪判決を下す
woolen,羊毛の
formality,形式的なこと
flexibility,柔軟性
reassure,再保証する
grove,木立ち果樹園
cannon,大砲
frustrate,台無しにさせる
herb,草本
characterize,の特性を示す
blast,a great time
correspondent,文通する人
quest,捜し回る
compass,巡る
disturbing,邪魔する
generosity,物惜しみしないこと
brightness,ブライトネス
morality,道徳
systematic,手順のよい
analyst,分析家
promoter,推奨者
needy,貧窮している
preliminary,予備の
neighboring,近接している
nutrition,栄養物摂取
changeable,変わりやすい
shatter,粉砕する
supplement,補足
mock,偽の からかい
continually,ひんぱんに
steamship,汽船
transaction,処理
initiative,主導権
accuracy,精密さ
sufficiency,十分(な資産?貯?
undo,元にもどす
fuss,苦情
motivate,に動機を与える
oat,【植物】カラスムギ
sharpen,鋭くする
caress,愛撫する
persistent,固執する
hallway,廊下
provoke,引き起こす
vacant,ぼんやりした
waterfall,どっと押し寄せるもの
bankrupt,支払い不能者
indication,あらわれ
genetic,遺伝子の
clause,条項
sender,送り手
isle,小島
sincerity,誠実
vitality,生命力
remainder,残留者
unlimited,限りない
accommodate,便宜をはかる
ego,自我
badminton,バドミントン
penetration,侵入
utmost,最大限の
ascent,上昇
heritage,文化的遺産
nobility,高貴の生まれ
applause,賞賛
stump,人を困らせる
hilly,丘陵地の
mathematician,数学者
biting,身を切るような
explosive,爆発しやすい
dishonestly,不正直に
reign,支配する
disappointing,期待はずれの
barbecue,バーベキュー
defendant,被告(人
hence,それゆえに
peril,危険
counsel,に助言する
riddle,難解な事物
wasteful,むだづかいの多い
vocal,ボーカル
unconscious,～を知らない
cite,注意を喚起する
comparatively,比較上
peacock,【鳥】クジャク
devise,工夫する
demonstrator,示威運動者
accusation,告発すること
protector,保護装置
monopoly,独占
complexity,複雑さ
canyon,(深い)峡谷
sequence,続発
astronaut,宇宙飛行士
insert,挿入する
simultaneously,同時に
radish,植物ダイコン
theatrical,劇場の
unavoidable,やむをえない
clash,衝突する
subtle,かすかな
respectful,敬意をもつべき
overthrow,転覆させる
closing,終りの
orbit,軌道
rejection,拒絶反応
narration,ナレーション
bitterness,にがさ
cooperative,協同組合の
hostility,戦争行為
breaking,breakすること
preservation,保存
realm,範囲
strife,闘争
prick,突き傷
rhythmic,リズミカルな
graze,牧草を食う
tenant,借家人
armchair,肘掛け椅子
cemetery,共同墓地
undoubted,疑問の余地がない
composed,落ち着いた
buzz,がやがや言う
coordinate,調和して動く
reliable,たよりになる
boycott,1
molecule,分子
faculty,能力
inquiry,問い合わせ
continuously,連続して
scrape,こすること
partially,部分的に(in part)
gratitude,感謝の気持ち
metallic,金属の
roam,放浪 歩き回る
reside,が備わっている
virus,ウイルス
mingle,混ぜる
hum,鼻歌を歌う
worthwhile,～する価値がある
exhaustion,極度の疲労
exceedingly,非常に
teamwork,チームワーク
certainty,確実性
watercolor,水彩画
attendance,出席
eternally,永久に
distrust,信用しない
corrupt,堕落させる
stimulus,刺戟
eggplant,【植物】ナス
continual,連続的の
soapy,せっけんを含んだ
holder,入れもの
paw,手
paradox,逆説
noiseless,音のしない
transmission,変速機
regain,取りもどす
perfection,完全(なこと)
watchdog,番犬
acknowledge,白状する
energetic,精力のある
decent,着衣の
tuna,【魚】マグロ
syllable,【文法】音節
unsuitable,不適当な
anticipation,予期
rigid,厳格な
sweetness,声の美しさ
complication,厄介な問題
intervention,市場介入
initiate,始める
accounting,会計学
torture,拷問にかける
utility,役に立つこと
documentary,ドキュメンタリー
trophy,戦利品
glide,グライダーで飛ぶ
habitual,習慣的な
searchlight,サーチライト
straighten,まっすぐにする
midst,中央
rehearsal,リハーサル
bounce,活気
firework,花火
overtime,時間外の
penetrate,突き通す
tempo,テンポ
inflict,打撃を加える
importantly,重要に
dedicate,捧げる
mammal,哺乳動物
vanity,むなしさ
curriculum,教育課程
bleach,漂白する
peculiarity,風変わり
tourism,観光事業
sheer,全くの
motorcar,自動車
demerit,短所
violation,違反
counseling,カウンセリング
correction,修正相場
disagreement,不一致
federation,連邦
pregnancy,妊娠
coolness,冷静さ
schooling,学校教育
optional,選択が自由の
mainland,大陸
accessible,近づきやすい
rally,再び集めて整える
outskirt,はずれ
grammatical,文法にかなった
prominence,突起
sober,しらふの
excellence,優秀
tasty,おいしい
incorrect,正しくない
gateway,入り口
diversity,相違
jerk,急にぐいと引く
mold,形作る
exceptional,例外的な
parlor,応接室
beak,鼻 くちばし 梁
ethical,倫理の
walnut,【植物】クルミ色
correspond,一致する
nonetheless,それにもかかわらず
contentment,満足
plug,差し込み
hail,歓呼して迎える
clearing,手形交換
thrust,刺し通す
unworthy,価値がない
lacking,欠けている
topical,話題の
photographic,写真の(用)の(ような)
mouthful,一口
seaport,海港
misunderstanding,考え違い
admirer,賞賛者
tenderness,圧痛
exclusive,排他的な
casually,何気なく
congratulate,祝詞を述べる
identification,同一であることの確認
unemployed,仕事のない
repeatedly,繰り返して
relaxing,人をくつろがせる
dwarf,小人
startling,驚くべき
grouping,集める
dimension,容積
taxation,課税
faraway,遠方の
bacteria,バクテリア
manly,男らしい
metaphor,【文法】隠喩
inevitably,不可避的に
seaweed,海草
competing,競合する
wrongly,不正に
solemnly,厳粛に
priceless,金で買えない程の
beforehand,あらかじめ
socialist,社会主義者
odor,におい
reproduction,複製品
bald,ありのままの
ritual,慣習の
authorize,に権限を与える
rubbish,くず
solitary,孤独の
encouragement,勇気づけること
capability,将来性
stony,石だらけの
envious,うらやましそうな
complicate,面倒にする
gallon,ガロン(約8リットル)
spicy,薬味を入れた
senator,上院議員
probe,徹底的な調査
defy,反抗する
abortion,人工中絶
irresponsible,無責任な
cyclist,循環説主張者
newsletter,広報
hostile,敵意のある
aftercare,アフターケア
structural,構造(上)の
extract,抜粋する
compel,強要する
ally,同盟(させる)
velvet,ベルベット製の
sweetly,優しく
sweetheart,恋人
modesty,しとやかさ
staircase,階段
perch,とまり木
pledge,乾杯 担保
widen,広くする
descent,下り坂
blessed,恵まれた
discrimination,(人種)差別
calculator,計算機
imprison,投獄する
sympathize,に同情する
deputy,代理人
continental,大陸の
hardy,ずうずうしい
equivalent,同価値の
banner,旗
outsider,外部者
flatten,たいらになる
abrupt,不意の
solar,太陽の
nomination,(特に官職の)任命
multitude,多数
mortal,死を免れぬ運命の
disapproval,非難
specify,明白に記す
triangular,三角の
ultimately,最後に
entertaining,楽しませる
deliberate,審議[討議]する
vigorous,精力的な
diverse,別種の
ethics,倫理学
microscope,顕微鏡
restoration,復旧
mister,～氏
Satan,サタン
unseen,見られない
signify,意味する
headmaster,校長
unsuccessful,失敗の
burial,葬式
evolve,発展する
endurance,持久力
daybreak,夜明け
recreation,リクリエーション
unfold,広げる
transmit,伝える(convey)
individually,個々別々に
pillar,柱
shady,日陰の
builder,工務店
controversial,議論好きの
equation,均衡
foul,むかつくような
manuscript,原稿
unsatisfactory,不満足な
sociology,社会学
virgin,処女の
stability,安定(性)
rack,ラック
ridge,山の背
furthermore,その上
boost,(急)上昇
Shinto,神道
alas,まあ!
torment,に肉体的苦痛を与える
gem,宝石
haunt,しばしば訪れる
resent,不快に思う
virtual,事実上の
repetition,繰り返し
instructive,教訓的な
plantation,栽培場
deception,だますこと
pint,パイント(約半リッター)
gasp,あえぎ
challenger,挑戦者
idealize,理想的にする
jury,陪審
spaceship,宇宙船
swimsuit,水着
booking,予約
worthless,価値のない
checkup,検査
fragment,破片
nightclub,ナイトクラブ
cargo,船荷
scenario,シナリオ
comical,おもしろい
financially,財政的に
dishonest,不正直な
neatly,こぎれいに
statistics,統計
residential,住居の
tuck,差し込む
fatigue,疲労
owing,に借りがある
stillness,静けさ
poetic,詩の
handicapped,身体に障害がある
hardship,辛苦
