fledgling,創業まもない企業
contentious,議論好きの
genesis,発生
cardiac,心臓(性)の
sizable,相当の大きさの
teem,でいっぱいである
corpus,集成
adamant,非常に堅い
ominous,不吉な
poignant,感動させる
centennial,100年祭
bun,巻き髪
jettison,船外投棄
placate,なだめる
outstrip,追い越す
ante,掛金
annuity,年金
caste,階級
throttle,スロットル
sordid,きたない
whirlwind,【気象】つむじ風
bedrock,床岩
screech,かん高い声をあげる
puncture,パンク
entreat,に求める
squirm,もじもじする
booze,《俗語》酒(liquor)
cartel,企業連合
hindsight,あと知恵
divulge,漏らす
heresy,異教
antipathy,反感
depose,退位させる
sleazy,薄っぺらな
ghetto,スラム街
brittle,壊れやすい
regal,王の
dogged,がんこな
quantum,量子
rant,大げさに言う
punitive,処罰のための
squeal,キーキー鳴く
replenish,再び満たす(refill)
lineage,血統
fathom,の水深を測る
abstinence,(お酒などを)断つこと
avenge,あだを討つ
secede,脱退(分離)する
canny,抜け目のない
platoon,小隊
sanguine,血色のよい
resurrection,回復
milieu,環境
leisurely,ゆっくり(と)
fragmentation,分解
inept,不適当な
connoisseur,鑑定家
deflate,の空気を抜く
ordinance,法令
sag,たわむ
measles,【病名】麻疹
graffiti,壁画
horde,群落になる
appease,なだめる
caucus,幹部会議
reinstate,(秩序などを)元に戻す
genetics,遺伝学
pathology,病理学
plush,フラシ天
nominal,名目上の
omen,前兆
denomination,額面金額
shackle,手かせ足かせ
scuttle,やめる
evangelist,福音伝道者
glib,口の軽い
preposterous,非常識な
lurid,赤々と輝く
regimen,養生(摂生)規則
stockpile,蓄積する
clandestine,秘密の
cutback,(枝の)刈り込み
overshadow,影を投げかける
loophole,(窓などにあけた)小窓
specter,幽霊
aria,アリア
brawl,)騒々しいけんか
fluke,思わぬ幸運
inoculation,注射
perjury,偽誓
astute,機敏な
nuptial,(複数で)結婚式
idiosyncratic,(一個人に)特有な
nibble,少しずつかむ
jagged,ぎしぎしした
condone,大目に見る
cohort,(古代ローマ)歩兵隊
exemplary,模範的な
impasse,《仏語》行き詰まり
makeshift,間に合わせの
wield,振るう
snarl,うなり
grunt,ぶうぶう言う[鳴く]
sludge,泥沼
excise,消費税
brash,せっかちな
diabetic,糖尿病の
clientele,(集合的)訴訟依頼人
nasal,鼻声の
leach,(液体)をこす
pimp,売春宿の亭主
delve,調査する
drench,びしょ濡れ
parochial,地方的
gall,苛立たせる
contingency,不慮の出来事
deportation,国外追放
palatable,趣味にかなう
illicit,禁制の
mural,壁の
czar,旧ロシア皇帝
labyrinth,迷路
hunch,弓なりに曲げる
inter,(死体を)埋める
smite,襲う
infest,にはびこる
strident,かん高い
ambivalent,あいまいな
warden,刑務所長
insurgent,反乱を起こした
precocious,早熟性の
grandiose,大げさな
exacting,骨の折れる
patronage,後援
aberration,狂い
trooper,州警察官
audacious,大胆な
tome,大きな本
liken,たとえる
jubilant,喜ぶ
drab,さえない
exacerbate,激化させる
intrepid,恐れを知らない
spate,大量
tangled,もつれた
nudge,ひじでそっと突く
mirage,蜃気楼
schizophrenia,精神分裂症
panther,【動】(動物)ヒョウ
retina,解剖網膜
backdrop,(事件などの)背景
decor,《仏語》装飾
conflagration,大災害
inexorable,動かない
ethereal,エーテルの
intestinal,腸の
confederate,連合させる
dearth,欠乏
funnel,集中する
resonant,反響する
doe,Department of Education
debase,の品性を落とす
daunting,ひるませるような
fiasco,《伊》(屈辱的な)大失敗
peddle,行商する
anthem,賛美歌
spree,ばか騒ぎ
extradition,(犯人)引渡し
tantalizing,人の期待をかきたてる
solace,慰め 慰める
bogus,Phony
quintessential,精髄の
forcing,
sleek,光沢を出す
burrow,(うさぎの)穴
alleviate,(苦痛など)を軽減する
aspen,ポプラの木
sliver,細長く裂く
trudge,てくてく歩く
instill,注ぎ込む
flux,絶え間ない変化
dictum,(権威ある)意見
catapult,発射する
curtail,切り詰める
pollen,【植物】花粉
anew,再び
upstart,成り上がり者
somber,憂うつな
taut,張りつめた
arson,放火(犯)
swoon,気絶(する)
miscarriage,流産
fleeting,速く過ぎてゆく
gloat,満足げに眺める
covert,隠された
squander,浪費する
goody,菓子
frolic,浮かれ騒ぎ
adrift,漂流して
thwart,ボートの漕ぎ座
sanctity,神聖さ
bounty,気前のよさ
unravel,解く
extremist,過激派
wrangle,口論する
strew,ばらまく
goldsmith,金細工人
arid,乾燥した
hepatitis,【病名】肝炎
infusion,注入
apostle,使徒
uncanny,気味の悪い
imposition,負担
maverick,焼き印のない牛
efficacy,効き目
wane,衰弱
paranoia,偏執病
informant,通知者
banter,からかい
euphoria,幸福(感)
ooze,にじみ出る
quirk,いやみ
malign,有害な
jeopardy,危険
retaliation,返報
savior,救済者
ethos,(文化など)気風
annex,別館
ransom,身代金
etch,食刻する
degenerate,退歩する
withdrawn,Withdrawの過去分詞形
counterfeit,にせもの
alluring,誘惑する
sectarian,宗派の
aura,発気
zinc,亜鉛
antiquated,古めかしい
blurt,口を滑らす
eschew,避ける
diaper,《米》(赤ん坊の)おむつ
flurry,あわてさせる 一陣の疾風
grid,格子
perk,生き生きさせる 役得
halo,光輪
tier,列
testimonial,証言広告
upbeat,上向き
overblown,ふくれあがった
gruesome,気味の悪い
mounting,乗馬
crackle,ぱちぱち音を立てる
allusion,ほのめかし
funk,怖がる
catalyst,触媒
backer,後援者
pore,熟考する
contingent,分担
verification,確かめること
burly,たくましい
convent,修道院
forestall,だしぬく
idyllic,田園詩(風)の
sweeping,おおざっぱな
asylum,保護施設
crap,(卑語)たわごと
affiliated,関連のある
coalesce,融合する
fervent,熱心な
implant,深く埋め込む
impart,分け与える
veer,変える
flamboyant,色鮮やかな
terrain,(軍事上から見た)地域
adultery,姦通
quell,鎮圧する
tenet,(政治
guise,服装
quagmire,泥沼
comer,将来有望な人(物)
roster,勤務表
burgeon,発芽する
abyss,深い淵
malaise,不快感
tally,符合させる
junta,(クーデター後の)軍事政権
rupture,決裂
vengeance,復讐
dolly,お人形ちゃん
vindication,擁護
nipple,乳首
enigma,解きにくいなぞ
pundit,専門家
