champagne,【地名】シャンパーニュ
townspeople,都会人
adherence,固守
yeast,酵母
adjacent,隣接した
redemption,買い戻し
transfusion,注入
specialized,専門の
chronic,長期にわたる
tact,機転
censor,検閲する 検閲 検閲官
signing,署名
diabetes,【病名】糖尿病
binder,縛る人
vaccine,ワクチン(の)
willingness,快く
pesticide,農薬
stun,を当惑させる
stink,悪臭(を放つ)
assassination,【犯罪】暗殺
heath,植物ヒース
treble,3倍
dabble,水をはねかす
evade,巧みに逃げる(escape)
packed,混んだ
copyright,著作権
ramp,後足で立ち上がる
allergy,アレルギー
pang,発作
hoot,ホーホー鳴く
headdress,頭飾り
gravy,グレービー
takeoff,離陸
frontal,正面の
martial,好戦的な
fore,全面
affected,気取った
mountaineering,登山
hospice,宿泊所
remnant,生存者
motherhood,母であること
rocker,ロックを演奏する人
buck,《俗語》ドル
inexplicable,不可解な
surge,(波となって)打ち寄せる
watt,ワット(電力·工率の単位)
prohibition,禁止
extended,伸びた
malicious,悪意のある
enrichment,豊かにすること
interrogate,～に問いただす
syllabus,判例要覧
southeastern,南東の
robust,堅牢な
misbehavior,不作法
commune,親しく語る
ore,鉱石
dreamer,夢みる人
preoccupation,先入観
illiteracy,無知
justifiable,正当と認められる
undeniable,否定できない
addictive,添加物
protocol,【通信】プロトコル
boarding,板張り
terminate,終わらせる
detection,看破
semiconductor,半導体
foreseeable,予知できる
prewar,戦前の
occidental,西洋(人)の
carol,祝いの歌
occupant,占有者
patriotism,愛国心
infuse,(思想などを)吹き込む
grotesque,怪奇な
sap,(徐々に)弱らせる
neutrality,(国家の)中立
adornment,装飾品
pagan,異教徒(の)
immunity,(税などの)免除
multinational,多国籍の
adversity,逆境
generic,一般の
connected,連結させる
thermostat,サーモスタット
wiring,電気配線
supplementary,補充の
negotiator,交渉者
infer,推論する
dilute,薄める
rascal,いたずらな人
akin,血族の
reluctantly,しぶしぶ
lioness,ライオンの雌
deform,の形をくずす
seduce,誘惑する
tasteless,趣のない
canon,《西》canyon chili
unbutton,はずす
precarious,推定的
ailment,病気
providence,神の導き
idly,何もしないで
posterity,子孫
blizzard,暴風
beta,ベータ
faithless,忠実でない
erupt,噴出させる
crumble,粉々にくだける
segregation,人種差別
smelt,精練する
purify,清める
germ,病原菌
communicator,
hospitable,もてなす
floating,浮いている
renown,有名
myriad,無数
notional,概念の
inning,インニング
rehearse,リハーサルをする
whatsoever,whatever
idealist,理想家
tyrannical,専制的な
amenity,快適さ
heredity,遺伝
forearm,前腕
credibility,真実性
placard,プラカード
cleanliness,きれい好き
footnote,脚注
median,中央の
thereby,それによって
geological,
apprehend,理解する
contamination,堕落させるもの
tabloid,タブロイド
outrageous,無法な
sunken,落ち込んだ
enmity,敵意
unsettle,動揺させる(する)
thunderous,雷のような
validate,有効にする
crest,ネジ山の頂
robin,コマドリ
hormone,ホルモン
shipbuilding,造船
speck,小さい点
alienation,疎遠
redeem,義務を果たす
infrequent,まれな
sage,聖人
jot,…を手早くメモする
peat,泥炭
sickly,病弱な
