groom,花婿
tariff,関税
punctuality,時間厳守
timber,材木
negligence,怠慢
gardening,園芸
reluctance,気が進まないこと
washcloth,手洗いタオル
enrich,肥沃にする
tram,ケーブルカー
fingerprint,指紋
temperate,温和な
vein,静脈
ware,製品
brunch,ブランチ
panorama,全景
appliance,器具
pebble,小石
seeker,探し求める者
escort,護衛
identical,同一の
treasurer,会計係
friction,摩擦
idol,偶像
broaden,広げる
thigh,もも
injection,注入
cripple,身体障害者
papal,ローマ教皇の
growl,うなる
reorganize,再編成する
idealistic,理想主義的な
gull,カモメ
lament,嘆き悲しむ
shrug,肩をすくめる
sunk,避けられない
heartily,快活に
decidedly,明確に
detergent,洗剤
mortality,死亡率
tearful,涙を誘う
folklore,民間伝承
slant,傾く
amazement,仰天
archaeology,考古学
auction,オークション
attachment,愛情
pathetic,哀れな
sorrowful,悲観的な
patriotic,愛国的な
cellar,貯蔵室
sophomore,二年生
saloon,大広間
adorn,飾る
cracked,割れた
eyesight,視野
wreck,壊す
captive,捕虜
hindrance,妨害
dependency,依存
wintertime,冬季
leftover,食べ残し
forefather,先祖
advancement,昇進
trainee,訓練生
challenged,障害のある
restrictive,制限的な
supportive,協力的な
rein,手綱
soothe,なだめる
decisive,決定的な
paralyze,麻痺する
picturesque,風景の良い
gigantic,並外れて大きい
skyline,地平線
unanimous,満場一致の
crumb,パン粉
slug,ナメクジ
hypothesis,前提
meditation,瞑想
competence,能力
existent,存在
pluck,引きちぎる
incessant,絶え間ない
sleeper,眠る人
merchandise,商品
easygoing,ゆったりとした
masculine,男らしい
variable,変わりやすい
cater,提供する
sublime,荘厳な
lizard,トカゲ
bachelor,独身男性
mainstream,主流
pipeline,パイプライン
lofty,高慢な
homecoming,帰省
halve,二等分する
reverence,敬意
presume,仮定する
safeguard,保護する
ingenious,見事な
inconvenient,不便な
eyelash,まつ毛
bedding,寝具
doctrine,教義
dialect,方言
creek,入江
intact,損なわれていない
supplier,供給者
admiral,大将
outrage,激怒
slay,虐殺する
pessimist,悲観論者
fiscal,国庫の
sermon,お説教
metropolis,首都
mute,黙った
avail,役立つ
swelling,はれもの
stylistic,文体上の
reappear,再発する
wheelchair,車椅子
locomotive,機関車
suspension,停止
vapor,蒸気
spur,拍車
refrain,慎む
summarize,v1
diligence,adj1
arouse,起こす
complement,補足
precede,～に先行する
quotation,見積書
royalty,王室の人々
spontaneous,自発的な
silky,絹のような
contraction,短縮
harmonious,調和の取れた
rehabilitation,名誉回復
intentional,計画的
diploma,卒業証書
clergy,聖職者
sociologist,社会学者
commonwealth,(the ～)英連邦
interference,hoge
victor,hoge
spike,hoge
fiery,火の
commissioner,コミッショナー
indignation,憤り
chap,ひび(あかぎれ)を作る
hydrogen,水素
simultaneous,同時の
instinctive,本能的な
discard,捨て札
tyrant,暴君
meditate,思いめぐらす
snore,いびきをかく
expressive,表情の豊かな
formidable,なまなかでない
lengthen,長くする
temporarily,仮りに
coil,ぐるぐる巻く
aimless,目的のない
timer,タイマー
warring,交戦
