ruler,主権者
handkerchief,ハンカチーフ
single,一人間の
ourselves,私たち自身
fourth,第4
route,道
pond,池
illness,不健康
fellow,匹敵者
chain,鎖
hammer,たたく
grateful,楽しい
grapefruit,グレープフルーツ
equal,～に相当する
tip,先
passage,通過
girlfriend,ガールフレンド
compare,なぞらえる
march,3月
fortunate,幸せな
hardly,ほとんど～ない
sock,ソックス
jacket,ジャケット
deliver,(品物などを)配達する
seventeenth,17番目の
cloth,ラシャ
program,プログラム(する)
cheer,喝采をおくる
state,(the ～)《口語》国務省
national,愛国的な
drill,ドリル
fear,恐れる
appear,見える
clerk,事務員
beat,撹拌(かくはん)する
chapter,見出し
poem,詩
trust,委託する
magic,魔法の
port,砲門
reporter,報告者
information,通知
respect,に関係する
aim,目的とする
style,スタイル
symbol,シンボル
male,男性の
exist,生きている
oneself,自分自身
officer,将校
basic,基礎的な
million,100万の
probably,おそらく
base,卑しい
daily,毎日の
drama,戯曲
battle,戦い
progress,前進する
holy,信心深い
rat,スト破り
standard,標準的な
course,コース
niece,めい
parade,行進する
invitation,招待状
spelling,字を綴ること
beard,あごひげ
lazy,眠気を催されるような
alive,生存している
expect,するつもりである
yourself,あなた自身で
sixth,6番目(の)
empty,人気のない
unhappy,浮かぬ
plastic,プラスチック(製の)
stranger,よその人
mark,記号
kilogram,キログラム
nod,うなずいて承諾(命令)
harbor,(考え?計画?邪念などを)心に抱く
foreign,外国の
doubt,不確かだと思う
opposite,向かい合った
planet,惑星
directly,まっすぐに
wonder,驚き
inch,インチ(1インチは54cm)
effect,趣旨
judge,判断する
helpful,助けになる
bow,おじぎ
industry,(ある特定の)産業
duty,任務
lift,上げること
warn,に警告する
profit,利益になる
damage,(人などの)名誉[体面
brake,【車】ブレーキ
sweater,セーター
pea,【植物】エンドウ豆
wolf,【動物】狼
aware,気づいて
wheel,車輪
thirsty,のどがかわいた
beautifully,美しく
favorite,お気に入りの(もの)
swing,スイング
mud,泥
maker,製造業者
sex,
permit,許可する
branch,枝
pineapple,【植物】パイナップル
share,市場占有率
clinic,臨床講義
saying,ことわざ
grammar,文法学
print,に印象を与える
impossible,(人が)我慢ならない 不可能な
shout,大声を出す
dancer,踊る人
giant,才能?知力などを備え
abroad,外国へ
sundae,サンデー
record,～のしるしとなる
writer,著者
nineteenth,第19番目の
condition,条件 状態
rumor,うわさする
forgive,借金を帳消しにする
valley,谷
badly,ひどく
curtain,幕で覆う
ahead,前もって
raw,原料のままの
professional,知的職業の
entrance,入り口 入ること
immediately,すぐ接して
wish,望む
gain,得る
dozen,1ダース
control,管理する
lemon,レモン
prince,王子
fishing,魚つり
lie,横たわる
twin,双子の片方
naturally,生まれつきに
mass,(通例Mass)ミサ
partly,部分的に
proof,校正刷り
weather,外気で変色する
headache,頭痛がする
finally,最終的に
brave,恐れずに
native,生まれつきの
almond,アーモンド
nor,もまた～でない
personal,人事消息欄
propose,を提案する
grape,【植物】ブドウ
mama,おかあさん
yourselves,yourselfの複数形
choice,選択の機会
nation,国家
hairbrush,ヘアブラシ
follow,に付随する
slip,滑る
flood,おびただしい流入
exact,正確な 強要する
patient,がまん強い
manage,管理する
conversation,話し合い
modern,現代の
rest,安心している
breathe,風がそよぐ
advice,忠告
fit,合う
health,健康状態
struggle,奮闘努力する
safety,安全装置
fill,補充する
rate,価格を評定する
suitcase,スーツケース
bear,(bear-bore-born) 押す
particular,件
