initiation,始動
underwater,水中の
stressful,緊張の多い
desperation,死にもの狂い
compassion,思いやり
untie,ほどく
postwar,戦後の
smuggler,密輸業者
assuming,ずうずうしい
scrub,ごしごし洗うこと
pilgrim,巡礼者
aristocrat,貴族的な人
populate,に人を居住させる
communion,親交
compute,算定する
adaptable,適合性のある
custard,カスタード
cleanse,清潔にする汚れを落す
expanse,(果てしない)広がり
skeleton,がいこつ
don,《古語》着る
lure,誘惑する
redefine,再定義する
recruitment,新兵募集
intercept,途中で捕まえる
subside,平常の位置に戻る
improbable,ありそうもない
outlaw,無法者
pro,職業人
prosecute,起訴する
obsess,にとりつく
intuition,直観
tonic,元気づける
bleak,荒涼とした
volcanic,激しい
rumble,(車などが)がらがら通る
breakthrough,突破(作戦)
nurture,滋養物
realism,リアリズム
unstable,不安定な
allegation,（悪事の）主張
manor,荘園
fascism,ファシズム
fatality,不幸
socialize,グループ活動で行う
compelling,抗し難い
recipient,受取人
correlation,関連
homosexual,
enlist,軍隊にとる
tempting,誘惑する
defective,不良の
relish,薬味
hitherto,これまで(は)
innate,生得の
claw,つめ
reportedly,聞くところによれば
disarm,武装を解除する
fertilize,肥やす
withhold,保留する
burglary,夜盗行為
expressway,高速道路
borderline,境界線
starter,出発係
multiplication,増加
conceivable,考えられる
irrelevant,無関係の
blur,～をぼんやりさせる
pornography,ポルノ写真
autonomy,自主性
forefront,最前部
hospitalize,入院させる
settled,固定した
ballad,民謡
customary,習慣的な
quake,震動する
aristocratic,貴族の
rap,こつんとたたく
falter,よろめく
tavern,酒屋
directory,ディレクトリ
dominance,優越
explicit,明白に述べた
inseparable,分けられない
degradation,
aerospace,航空宇宙(空間)
lawsuit,《民法》訴訟
misty,かすみのかかった
coalition,連合
ambiguity,両義性
reconstruction,復元
unrelated,関係ない
emigrate,(国外に)移住する
biased,かたよった
jobless,失業中の
aspiration,熱望(strong desire)
collide,衝突する
protein,タンパク質
imaginable,想像できる
inadequacy,不適切
progression,進行
pollute,汚染する
implication,連座
intimacy,仲の良い
likelihood,ありそうなこと
shooting,発射する
mourning,悲嘆
inaccessible,近づきにくい
acutely,強く
mumble,もぐもぐ言う
socket,ソケット
rapidity,す早さ
intercourse,交わり
turmoil,混乱
guerrilla,ゲリラ兵
radium,ラジウム
pier,防波提
tornado,(陸上の)竜巻
con,反対の
spatial,空間的な
adjustable,調整できる
wardrobe,衣装だな
inventive,発明の才のある
fishery,漁業
dweller,居住者
detachment,超然とした態度
divided,分けられた
treacherous,不実な
clasp,しっかり握る
midway,中途の
subordinate,従属させる
buddy,親友
bearer,運搬人
addict,熱中させる
plank,厚板
superiority,優越
moody,不機嫌な
frustrating,frustrateの形容詞
inequality,でこぼこ
toxic,有毒な
heroin,ヘロイン
untrue,真実でない
hazelnut,ハシバミの実
humanitarian,人道主義者
expire,満了する
closure,締切り
deathbed,死の床
parting,分かれの
hardworking,勤勉な
inefficient,役に立たない
sculptor,彫刻家
impractical,実際的でない
scroll,スクロールする
coordination,同格関係
entity,存在
invoice,インボイス
fingernail,指の爪
categorical,unconditional
ideological,イデオロギーの
maze,迷路
pirate,海賊
credible,信じられる
glaze,ガラスをはめる
rapture,有頂天
sarcastic,皮肉
luminous,理解しやすい
hemisphere,半球(体)
raised,酵母でふくらませた
tech,専門学校
repel,に抵抗する
comply,従う
overpower,征服する
equilibrium,釣り合い
velocity,速さ
removed,離れた
sensibility,感受性
rite,儀式
coup,不意の一撃
infinitely,無限に
longing,切望
tack,針路
antibody,免疫体
uncontrollable,抑制できない
contaminate,汚染する
landlady,女主人
meaningless,無意味な
blacksmith,かじ屋
lightweight,ライト級
washer,ワッシャー
artisan,職人
server,サーバー
unify,統一する
