proven,証明された
undergraduate,大学生
follower,随行者
clue,手がかり
lame,ラメ(金銀糸織物) 
cathedral,大聖堂
ambassador,大使
legend,言い伝え
fierce,気性が荒々しい
topping,たたく
headphone,ヘッドホン
punch,に穴をあける
punctual,時間を守る
frozen,freezeの過去分詞形
thermometer,【気象】温度計
sexy,セクシー
manufacturer,メーカー
coffeehouse,喫茶店
incline,～を傾ける
erect,直立した
academy,専門学校
inward,本質的な
tragic,悲劇の
legally,法律的に
unimportant,重要でない
twinkle,きらきら輝く
survivor,生き残った人
cape,肩マント
environmental,環境の
embassy,大使館
demonstration,実物宣伝
lump,塊になっている
graduation,卒業
neutral,えこひいきしない
horseman,騎手
milkman,牛乳屋
gallop,ギャロップ
sentiment,感情
armor,防護具
exterior,外側の
dissolve,溶解する
uncommon,まれな
renew,新しくする
mixture,混合体
exploration,探検
experienced,経験を積んだ
unaware,気づかない
qualify,に資格を与える
cunning,抜け目のない
vine,つる
hurricane,【気象】ハリケーン
psychology,心理学
herd,人の群れ
minus,差引いて
utter,発する
convey,運ぶ
suspicion,感づくこと
confuse,戸惑わせる
slap,平手打ち
tournament,トーナメント
aisle,座席間の通路
diligent,勤勉な
millionth,100万番目
rocky,(打ちのめされて
shiny,光る
pyramid,ピラミッド
tread,踏んで通る
farewell,別れの挨拶
thoughtful,思慮ぶかい
resume,《仏語》摘要
leadership,指導者の地位
ethnic,民族の
sow,蒔く
burning,燃える
reluctant,気乗りのしない
fastener,ファスナー
appreciation,正しい認識
solo,ソロ
flashlight,懐中電灯
gleam,(暗い中で)光る
sob,すすり泣き
frequency,しばしば起こること
prevention,予防
republican,共和政体の
raindrop,雨粒
inferior,下の方の
organized,組織的な
furnish,備え付ける
theme,テーマ
esteem,尊重(する)
sightseeing,観光の
transition,移行
riding,乗ること
crosswalk,横断歩道
daisy,【植物】ヒナギク
majesty,威厳
assurance,保険
arcade,アーケード
input,入力する
inflation,インフレーション
patiently,辛抱して
vigor,元気
mitten,ミトン
dispose,配列する
ascend,のぼる
eagerly,熱心に
drawn,Drawの過去分詞形
stripe,ストライプ
publicity,公共性
removal,移動すること
greenhouse,温室
conqueror,征服者
spectator,見物人
investor,投資家
chip,チップ
anticipate,予期する
cucumber,【植物】キュウリ
marketing,マーケティング
precisely,精密に
broadcasting,放送
agreeable,気持ちの良い
gloomy,(気象)うっとうしい
erase,ふいて消す
annoy,うるさがらせる
summon,招集する
sporting,もて遊ぶ
architect,建築士
pansy,【植物】三色スミレ
confusion,混乱状態
nickel,ニッケル
scarce,乏しい
nicely,きちょうめんに
ideally,完全無欠に
disgust,に嫌気を起させる
alligator,ワニ
doubtless,疑いのない
farmhouse,農家
drain,排水
violently,激しく
surgeon,(海軍の)軍医
omit,抜かす
nightgown,ナイトガウン
freshman,(大学などの)新入生
unusually,いつになく
alliance,提携
pad,～に当て物をする
powerless,力の無い
plunge,突入
steadily,しっかりと
refuge,避難する
reproduce,生殖させる
keyword,キーワード
shilling,シリング
fantasy,(途方もない)空想
tissue,ティッシュペーパー
consume,消費する
copper,銅
inhabit,に存在する
routine,決まりきった仕事
fetch,取ってくる
allowance,協定損害率
detect,発見する
packing,パッキング
immensely,莫大に
substitute,取り替える
tolerate,大目に見る
conceal,(身を)隠す
cautious,注意深い
surprisingly,驚くほど(に)
architecture,建築(学)
handling,手で触れること
survival,生き残ること
mourn,悲しむ
instructor,インストラクター
lighter,明りをつける人
astonish,驚かす
noted,有名な
grin,歯を見せて笑う
pal,仲良し
lighting,明暗
humorous,ユーモアを解する
boyhood,少年時代
cope,うまく対処する
terrific,恐ろしい
pinch,一つまみ
magnificent,壮大な
negotiate,(条約締結など)交渉する
ferry,渡し場
corridor,廊下
entitle,に題名をつける
perfume,におい
veranda,ベランダ
antenna,【車】《米》アンテナ
shorten,短くする
earning,稼ぎ
immigrant,帰化植物
sandy,砂の
inspector,工事監督者
economical,経済的な
communist,共産主義者
physically,1 自然の法則によって
colleague,同僚
inspect,検査する
housekeeping,会社の経営
opponent,反対する
donkey,【動物】ロバ
solely,ひとりだけ
homesick,ホームシックの
trader,商売をする人
troop,軍隊
mid,中間の
consult,助言を求める
doubtful,あいまいな
vivid,生き生きとした
assembly,議会
attendant,付添いの
democrat,民主主義者
revival,生き返り
pocketbook,財布
thriller,ぞっとさせる物
chaos,混乱状態
provider,提供する人
substantial,しっかりした
prohibit,禁止する
lobster,【魚】うみざりがに
nude,ヌード
civilize,教化する
motive,動機
harmonica,ハーモニカ
creativity,創造性
finely,りっぱに
bug,バグ
beetle,【虫】カブトムシ
memorial,記念の
salesclerk,店員
steer,運転できる
accused,告訴[告発]された
pony,ポニー
adventurous,冒険好きな
derive,の起源をたずねる
timeless,時代を超越した
organism,有機体
sunglasses,サングラス
optimistic,楽観的な
performer,行為者
pasture,放牧する
wineglass,ワイングラス
seriousness,まじめ
remarkably,著しく
carve,彫刻する
armed,武器を持った
advertising,広告の
initially,初めに
cube,3乗する 立方体 1
waken,の目を覚まさせる
squirrel,【動物】リス
Easter,(キリスト教)復活祭
diplomatic,外交の
partnership,協同経営
fulfill,約束を履行する
seemingly,一見したところ
irony,当てこすり
breadth,大きさ
darken,暗くする
drip,したたる
carelessly,不注意に
streetcar,路面電車
presentation,提出
astonishing,驚くべき
pierce,～に穴をあける
constitute,構成する
boredom,退屈
unlike,似ていない
bundle,大金
separately,離れて
glorious,すばらしく愉快な
perception,知覚
aspirin,アスピリン
facility,たやすさ
caring,同情心のある
summertime,サマータイム
heavenly,すばらしい
pamphlet,パンフレット
congratulations,おめでとう
swift,迅速な
crocodile,わに
dearly,愛情を込めて
strive,努力する
bravely,勇敢に
thorn,苦痛の種
howl,ヒューヒューうなる
portable,ポータブル
restriction,制限
tenderly,そっと(gently)
catcher,キャッチャー
grab,～をつかみ取る
loneliness,一人ぼっち
similarly,同様に
advertise,広告する
electronics,電子工学
bureau,化粧ダンス 局
obedience,服従
morally,恐らく
violate,に違反する
mattress,マットレス
charter,憲章
salespeople,販売員
heroine,英雄的女性
accurately,きちんと
prefecture,県
objective,目標
hanger,格納庫
pastime,気晴らし
dolphin,【動物】イルカ
trendy,最新流行の
insider,会員
reflection,反射光
warrior,勇士
recipe,調理法
raisin,干しブドウ
ward,(カギの)刻み目
emotionally,感情的に
philosopher,哲学者
considering,…を考慮すれば
desperately,死にもの狂いに
satellite,衛星
overwhelming,圧倒的な
foam,あわ汗を流す
rag,叱る
researcher,研究者
developer,住宅開発業者
senate,上院
mechanic,機械工
exposure,暴露
saddle,課す
disturb,平安をかき乱す
retirement,退役
ensure,確実にする
officially,公式に
supposed,そう考えられていた
grocery,食料雑貨類
mission,使命
woodland,森林
offering,提供する
biologist,生物学者
core,中心
cradle,揺りかご 発生地
nursery,子ども部屋
Renaissance,ルネッサンス
brutal,けものの
icy,氷に様に冷たい
noun,【文法】名詞
implement,実施する
skilled,熟練した
absurd,ばからしい
eagerness,熱心
imperfect,ある部分を欠く
schoolroom,教室
talented,才能ある
surgery,(診療科)外科(手術)
golfer,ゴルファー
verb,【文法】動詞
grind,ギシギシこすりあわせ
sufferer,苦しむ人
coconut,ココヤシの実
marking,荷印
prime,火薬を詰める
testing,試験
vital,生命の
doorstep,戸口の上がり段
startle,びっくりさせる
shrink,ひるむ
climax,最高潮
challenging,意欲をそそる
heap,積み上げる
motorist,自動車を乗り回す人
errand,使い
exaggerate,誇張する
pasta,パスタ
resign,辞める
tights,タイツ
jealously,油断なく
consequently,その結果として
illusion,思い込み
mummy,ミイラ
heading,あたまとなるもの
trim,(身体の)調子
stomachache,胃痛
consultant,コンサルタント
flu,インフルエンザ
exhaust,体力を使いつくす
moss,コケ
dishwater,皿を洗う水
assemble,招集する
recruit,募集する
jog,押す
lastly,最後に
reserved,控えめ
beating,打つこと
monarch,君主
marker,マークする物
eternal,永遠の
strategy,兵法
concrete,コンクリート
moan,うめき声
fairness,公平
memo,覚え書き
retreat,引退
cooker,料理用の
unexpectedly,不意に
giraffe,【動物】キリン
creamy,クリームのような
distinctly,きっぱり
forbid,～することを許さない
dressmaker,婦人服の仕立屋
unpleasant,不愉快な
hasten,急ぐ
earthly,地球の
expansion,膨張
condense,圧縮する
plainly,はっきりと
solidly,堅固に
slender,ほっそりした
dock,ドックに入れる
distinguished,顕著な
hardware,ハードウェア
trading,商取引
evaluation,評価額
charming,魅力的な
phase,局面
hedge,保険つなぎ
calorie,カロリー
oral,口頭の
colonial,植民地の
agony,苦痛
historic,歴史上重要な
particle,微少量
observer,オブザーバー
instantly,ただちに
condemn,運命づける
dealing,分配する
racing,競争をする
deadline,期限
critic,批評家
guitarist,ギター奏者
ultimate,根本的な
regulate,規則正しくする
rational,道理にかなった
depression,意気消沈
frustration,欲求不満
blaze,火災
fiber,繊維
rinse,すすぎ
grim,気味が悪い
publisher,出版業者
organic,有機体の
disco,ディスコ音楽
tub,おけ
interpret,の意味を解く
arithmetic,算数
horizontal,地平線の
overtake,～に追いつく
hay,干し草
witch,魔女
distinction,卓越
midday,正午
stumble,つまずき
unemployment,失業率
sculpture,彫刻をする
barn,納屋
slippery,つるつるした
sole,たった一つの
consumer,消費者
chat,しゃべる
hitchhike,ヒッチハイク
lantern,ランタン
pleasing,心地よい
typically,典型的に
discharge,解雇
earnest,まじめな
inhabitant,住んでいる人
mat,マット
defect,不足
murmur,つぶやき
satisfying,満足な
hairdresser,美容院(～s) 美容師
singular,唯一の
laboratory,研究室(所)
conviction,信念
prosper,繁栄させる
unfamiliar,なじみのない
gaze,じっと見つめる
prejudice,先入観
entertainer,もてなす人
suspend,一時停止する
animation,生気
superior,優れている
painfully,苦しんで
fascinating,魅力のある
mischief,いたずら
destructive,破壊的な
situated,位置している
scrap,屑鉄
shovel,シャベル シャベルで掘る
iced,氷に覆われた
riverside,河辺の
significance,意義
cultivate,交際を求める
participate,参加する
compose,構成する
refugee,亡命者
unfair,公正を欠いた
regional,局地的な
beaten,打ち負かされた
microwave,マイクロ波
consistent,矛盾のない
comprehension,理解
conservation,国家管理
confusing,混乱させるような
psychologist,心理学者
sue,訴訟を起こす
regardless,かまわない
sphere,分野
assign,割り当てる
inquire,尋ねる
