precipitation,投下
detract,(評判?価値など)を減らす
affectation,見せかけ
ecclesiastical,教会の
pacify,戦乱を収める
foreclose,【法律】担保権を行使する
wean,離乳させる
frock,フロックを着せる
haphazard,偶然
bile,胆汁
salient,顕著な
panhandle,平鍋の柄
insecticide,殺虫剤
inlaid,散りばめた
ruddy,血色のいい
narcissus,【植物】スイセン
embroidery,ししゅう
ruminate,反すうする
canopy,天蓋
smolder,くすぶる
cot,小屋
domicile,住居
graphite,石墨
hackneyed,陳腐な
aviary,(大きい)鳥のおり
sorcerer,魔法使い
cactus,サボテン
anteroom,次の間
vested,法律既得の
stagnate,沈滞する
plumage,羽毛
ail,苦しめる
impersonate,のふりをする
gird,腰を締める
coroner,検死官
nonchalant,《仏語》無頓着な
whirlpool,渦
orator,雄弁家
stench,悪臭
optimum,最適(の)
uncouth,無骨な
sheath,さや
ramification,事態の波及
dune,砂丘
scrabble,ひっかき回す
inscrutable,測り知れない
amends,償い
engender,発生させる
nettle,【植物】イラクサ属の植物
derisive,嘲笑的な
permeate,にしみ通る
schematic,概要の
fluoride,フッ化物
succulent,汁の多い
quaver,震える
iris,【植物】アヤメIris
unscathed,無傷の
pounce,～に突然飛びかかる
truant,怠ける
crevice,(狭く深い)裂け目
resuscitate,生き返らせる
wheedle,甘言でだます
demure,恥ずかしそうな
presage,前兆する
ointment,軟膏
xenophobia,外国人嫌い
sagacious,利口な
visage,顔
inception,発端
bandit,山賊
demoralize,の風紀を乱す
complainant,原告
sprite,妖精
extradite,送還する
muffle,包む
whitewash,ごまかし
averse,反対して
posthumous,著者の死後に出版された
earthen,土で作った
synopsis,概要
stag,雄
armpit,腋窩(えきか)
baloney,たわごと
detest,嫌悪する
superimpose,載せる
hiccup,しゃっくり
unscrupulous,不謹慎な
undue,過度の
indemnity,損害てん補
node,節点
upmarket,高所得者向けの
avarice,どん欲
ratification,実証
oscillate,振動する
thoroughbred,サラブレッド
subversion,破壊
agrarian,土地の
irksome,退屈な
specious,見かけのよい
exemplar,手本
writhe,もがく
kerosene,kerosine
mercenary,傭兵
tenement,保有財産
flippant,軽率な
corollary,(必然的)結果
confetti,金平糖
insulation,隔離
saliva,唾液
excavate,掘る
deplorable,嘆かわしい
infallible,決して誤らない
gentile,異邦人
sedate,落ち着かせる
lateral,側面の
elucidate,明らかにする
acquiescence,黙認
extrovert,外向的な
pathological,病理学の
allegory,寓意
fission,分裂
gullible,だまされやすい
douse,(水中に)突っ込む
petulant,不きげんな
volition,意志選択行為
sprig,小枝
corrode,腐食する
hemorrhage,出血
plenary,全員出席した
lunge,突き出す
profusion,豊富
effervescent,起沸性の
infatuation,夢中
impetuous,猛烈な
venomous,毒液を出す
rebuttal,反駁
laudable,worthy of praise
debit,借方(に記入する)
amenable,すなおな
impudent,ずうずうしい
knell,悲しみの鐘
grate,(大根などを)おろす
embryonic,胚に関する
consummation,達成
dilapidated,崩れかかった
wand,指揮棒
sewerage,下水道
pelvis,骨盤
artifice,技術
mirth,陽気
gratuitous,理由のない
chaff,もみがら
veterinarian,獣医(veterinary)
retract,撤回する
cleave,道を切り進む
incandescent,白熱の
bovine,ウシ属の
incredulous,なかなか信じない
thrash,のたうち回る
apex,頂上
lenient,寛大な
persimmon,柿(の木)
atone,償う
embankment,堤防
rostrum,演説家
molding,型で作ること
leaden,重い
despondent,気落ちした
nil,ゼロ
puberty,思春期
roundup,検挙
detriment,損害
anvil,金敷き
impassive,無表情の
spire,芽を出す
antiseptic,殺菌の
astern,海事航空後方に
exorcise,追い払う
peevish,気難しい
hangar,飛行機の格納庫
brusque,ぶっきらぼうな
insipid,味のない
evict,追い立てる
afoot,進行中
optimal,最良の
